idx,text,title,idx_right
20988333,"Date : Feb 5 , 2017 Location : NRG Stadium ( Houston , Texas ) Performer : Lady Gaga Producer : Ricky Kirshner Director : Hamish Hamilton Sponsor : Pepsi Zero Sugar References : Setlist : '' God Bless America '' / '' This Land Is Your Land '' '' Poker Face '' '' Born This Way '' '' Telephone '' '' Just Dance '' '' Million Reasons '' '' Bad Romance ''",List of Super Bowl halftime shows,20970820
21000837,"Date : Feb 4 , 2018 Location : U.S. Bank Stadium ( Minneapolis , Minnesota ) Performer : Justin Timberlake and the Tennessee Kids , University of Minnesota Marching Band Producer : Ricky Kirshner Director : Hamish Hamilton Sponsor : Pepsi References : Setlist : '' Filthy '' '' Rock Your Body '' '' Señorita '' '' SexyBack '' '' My Love '' '' Cry Me a River '' '' Suit & Tie '' ( Featuring the University of Minnesota Marching Band ) '' Until the End of Time '' '' I Would Die 4 U '' ( Pre-recorded video of Prince ( displayed on a projection screen ) with Justin Timberlake ) '' Mirrors '' '' Ca n't Stop the Feeling ! ''",List of Super Bowl halftime shows,20970820
21009728,"Date : Feb 3 , 2013 Location : Mercedes - Benz Superdome ( New Orleans , Louisiana ) Performers : Beyoncé , Destiny 's Child Producer : Ricky Kirshner Director : Hamish Hamilton Sponsor : Pepsi References : Setlist : '' Run The World ( Girls ) '' ( Intro ) / Vince Lombardi '' Excellence '' speech voiceover '' Love on Top '' ( chorus a cappella ) ( Beyoncé ) '' Crazy in Love '' ( Beyoncé ) '' End of Time '' ( Beyoncé ) '' Baby Boy '' ( Beyoncé ) '' Bootylicious '' ( Destiny 's Child ) '' Independent Women Part I '' ( Destiny 's Child ) '' Single Ladies ( Put a Ring on It ) '' ( Beyoncé featuring Kelly Rowland and Michelle Williams ) '' Halo '' ( Beyoncé )",List of Super Bowl halftime shows,20970820
21017044,"The NFL does not pay the halftime show performers an appearance fee , though it covers all expenses for the performers and their entourage of band members management , technical crew , security personnel , family , and friends . Super Bowl XXVII halftime show with Michael Jackson provided an exception , as the NFL and Frito - Lay agreed to make a donation and provide commercial time for Jackson 's Heal the World Foundation . According to Nielsen SoundScan data , the halftime performers regularly experience significant spikes in weekly album sales and paid digital downloads due to the exposure . For Super Bowl XLIX , it was reported by the Wall Street Journal that league officials asked representatives of potential acts if they would be willing to provide financial compensation to the NFL in exchange for their appearance , in the form of either an up - front fee , or a cut of revenue from concert performances made after the Super Bowl . While these reports were denied by an NFL spokeswoman , the request had , according to the Journal , received a '' chilly '' response from those involved .",List of Super Bowl halftime shows,20970820
21018761,"LI Main article : Super Bowl LI halftime show Date : Feb 5 , 2017 Location : NRG Stadium ( Houston , Texas ) Performer : Lady Gaga Producer : Ricky Kirshner Director : Hamish Hamilton Sponsor : Pepsi Zero Sugar References : Setlist : '' God Bless America '' / '' This Land Is Your Land '' '' Poker Face '' '' Born This Way '' '' Telephone '' '' Just Dance '' '' Million Reasons '' '' Bad Romance ''",List of Super Bowl halftime shows,20970820
21020970,"XXVI Date : Jan 26 , 1992 Location : Hubert H. Humphrey Metrodome ( Minneapolis , Minnesota ) Theme : Winter Magic , salute to 1992 Winter Olympics Performers : Gloria Estefan , Olympic Figure skaters Brian Boitano and Dorothy Hamill , members of the 1980 US Olympic Hockey Team , and the University of Minnesota Marching Band Producer : Timberline Productions References : Setlist : '' Winter Magic '' '' Walking in a Winter Wonderland '' '' Dance of the Sugar Plum Fairy '' '' Frosty '' ( University of Minnesota Marching Band ) '' One Moment in Time '' ( featuring Brian Boitano and Dorthy Hamill ) '' Do n't Stop Me Now '' ( featuring members of the 1980 US Olympic Hockey Team ) '' Live for Loving You '' ( Gloria Estefan ) '' Get on Your Feet '' ( Gloria Estefan ) Notes : During the halftime , rival network Fox aired a special live episode of In Living Color , one of the first deliberate attempts at counter-programming . The show drew over 22 million viewers away from the Super Bowl telecast . In mid-1992 , citing this , Select Productions pitched the concept of exclusively featuring live concert - type performances from top contemporary musical artists . The concept and pitch is attributed to Select Productions ' employee Rick Lewis and prompted the change of the 1993 halftime show to showcase Michael Jackson .",List of Super Bowl halftime shows,20970820
21030385,"Halftime shows are a tradition during American football games at all levels of competition . Entertainment during the Super Bowl , the annual championship game of the National Football League ( NFL ) , represents a fundamental link to pop culture , which helps broaden the television audience and nationwide interest . As the Super Bowl itself is typically the most - watched event on television in the United States annually , the halftime show has been equally - viewed in recent years : the halftime show of Super Bowl XLIX featuring Katy Perry was viewed by 118.5 million , as part of an overall telecast that peaked at 120.3 million at its conclusion -- the most - watched television broadcast in U.S. history . The NFL claims that the Super Bowl LI halftime show , with Lady Gaga was the '' most - watched musical event of all - time , '' citing a figure of 150 million viewers based on the television audience , as well as unique viewership of video postings of the halftime show on the league 's platforms , and social media interactions ( a metric that was never calculated prior to 2017 ) . However , the show was seen by 117.5 million television viewers , making it the second - highest - rated halftime show .",List of Super Bowl halftime shows,20970820
21030529,"Halftime shows are a tradition during American football games at all levels of competition . Entertainment during the Super Bowl , the annual championship game of the National Football League ( NFL ) , represents a fundamental link to pop culture , which helps broaden the television audience and nationwide interest . As the Super Bowl itself is typically the most - watched event on television in the United States annually , the halftime show has been equally - viewed in recent years : the halftime show of Super Bowl XLIX featuring Katy Perry was viewed by 118.5 million , as part of an overall telecast that peaked at 120.3 million at its conclusion -- the most - watched television broadcast in U.S. history . The NFL claims that the Super Bowl LI halftime show , with Lady Gaga was the '' most - watched musical event of all - time '' , citing a figure of 150 million viewers based on the television audience , as well as unique viewership of video postings of the halftime show on the league 's platforms , and social media interactions . However , the show was only seen by 117.5 million television viewers , making it the second - highest - rated halftime show behind Super Bowl XLIX .",List of Super Bowl halftime shows,20970820
6399874,"Cessna 421 The Cessna 421 Golden Eagle is an American six or seven seat twin-engined light transport aircraft, developed in the 1960s by Cessna as a pressurized version of the earlier Cessna 411. The Cessna 421 is the fastest of Cessna's twin engine piston line. The Cessna 421 was first produced in May 1967, the 1968 model year. It had ""Stabila-Tip"" fuel tanks on the wingtips (like the Cessna 310). Its electro-mechanical landing gear are similar to that of the 310. It was an immediate hit, selling 200 planes in its first year. The very next year, 1969, the design",Cessna 421,
6217272,"lasted three months. Kirby, additionally, created and did one story each of the Fox features ""Wing Turner"" (""Mystery Men"" #10, May 1940) and ""Cosmic Carson"" (""Science Comics"" #4, same month). Fox Feature Syndicate sponsored a ""Blue Beetle Day"" at the 1939 New York World's Fair on August 7, 1940, beginning at 10:30 a.m. and including 300 children in relay-race finals at the Field of Special Events, following preliminaries in New York City parks. The race was broadcast over radio station WMCA. Throughout the 1940s, Fox produced comics in a typically wide variety of genres, but was best known for superheroes",Fox Feature Syndicate,
