idx,text,title,idx_right
0,"History of the periodic table The periodic table is an arrangement of the chemical elements and are organized on the basis of their atomic numbers, electron configurations and recurring chemical properties. Elements are presented in order of increasing atomic number. The standard form of the table consists of a grid of elements with rows called periods and columns called groups. The history of the periodic table reflects over a century of growth in the understanding of chemical properties. The most important event in its history occurred in 1869, when the table was published by Dmitri Mendeleev, who built upon earlier",History of the periodic table,20970755
1,"discoveries by scientists such as Antoine-Laurent de Lavoisier and John Newlands, but who is nevertheless generally given sole credit for its development. A number of physical elements (such as platinum, mercury, tin and zinc) have been known from antiquity, as they are found in their native form and are relatively simple to mine with primitive tools. Around 330 BCE, the Greek philosopher Aristotle proposed that everything is made up of a mixture of one or more ""roots"", an idea that had originally been suggested by the Sicilian philosopher Empedocles. The four roots, which were later renamed as ""elements"" by Plato,",History of the periodic table,20970755
2,"were ""earth"", ""water"", ""air"" and ""fire"". Similar ideas about these four elements also existed in other ancient traditions, such as Indian philosophy. The history of the periodic table is also a history of the discovery of the chemical elements. The first person in history to discover a new element was Hennig Brand, a bankrupt German merchant. Brand tried to discover the Philosopher's Stone — a mythical object that was supposed to turn inexpensive base metals into gold. In 1669 (or later), his experiments with distilled human urine resulted in the production of a glowing white substance, which he called ""cold",History of the periodic table,20970755
3,"fire"" (""kaltes Feuer""). He kept his discovery secret until 1680, when Robert Boyle rediscovered phosphorus and published his findings. The discovery of phosphorus helped to raise the question of what it meant for a substance to be an element. In 1661, Boyle defined an element as ""those primitive and simple Bodies of which the mixt ones are said to be composed, and into which they are ultimately resolved."" Lavoisier's ""Traité Élémentaire de Chimie"" (""Elementary Treatise of Chemistry""), which was written in 1789 and first translated into English by the writer Robert Kerr, is considered to be the first modern textbook",History of the periodic table,20970755
4,"about chemistry. Lavoisier defined an element as a substance that cannot be broken down into a simpler substance by a chemical reaction. This simple definition served for a century and lasted until the discovery of subatomic particles. Lavoisier's book contained a list of ""simple substances"" that Lavoisier believed could not be broken down further, which included oxygen, nitrogen, hydrogen, phosphorus, mercury, zinc and sulfur, which formed the basis for the modern list of elements. Lavoisier's list also included 'light' and 'caloric', which at the time were believed to be material substances. He classified these substances into metals and non metals.",History of the periodic table,20970755
5,"While many leading chemists refused to believe Lavoisier's new revelations, the ""Elementary Treatise"" was written well enough to convince the younger generation. However, Lavoisier's descriptions of his elements lack completeness, as he only classified them as metals and non-metals. In 1815, the English physician and chemist William Prout noticed that atomic weights seemed to be multiples of that of hydrogen. In 1817, Johann Wolfgang Döbereiner, a chemist, began to formulate one of the earliest attempts to classify the elements. In 1829, he found that he could form some of the elements into groups of three, with the members of each",History of the periodic table,20970755
6,"group having related properties. He termed these groups ""triads"". Definition of Triad law:-""Chemically analogous elements arranged in increasing order of their atomic weights formed well marked groups of three called Triads in which the atomic weight of the middle element was found to be generally the arithmetic mean of the atomic weight of the other two elements in the triad. Alexandre-Emile Béguyer de Chancourtois, a French geologist, was the first person to notice the periodicity of the elements — similar elements occurring at regular intervals when they are ordered by their atomic weights. In 1862 he devised an early form",History of the periodic table,20970755
7,"of periodic table, which he named ""Vis tellurique"" (the 'telluric helix'), after the element tellurium, which fell near the center of his diagram. With the elements arranged in a spiral on a cylinder by order of increasing atomic weight, de Chancourtois saw that elements with similar properties lined up vertically. His 1863 publication included a chart (which contained ions and compounds, in addition to elements), but his original paper in the ""Comptes Rendus de l'Académie des Sciences"" used geological rather than chemical terms and did not include a diagram. As a result, de Chancourtois' ideas received little attention until after",History of the periodic table,20970755
8,"the work of Dmitri Mendeleev had been published. In 1864, the English chemist John Newlands classified the sixty-two known elements into eight groups, based on their physical properties. Newlands noted that many pairs of similar elements existed, which differed by some multiple of eight in mass number, and was the first to assign them an atomic number. When his 'law of octaves' was printed in ""Chemistry News"", likening this periodicity of eights to the musical scale, it was ridiculed by some of his contemporaries. His lecture to the Chemistry Society on 1 March 1866 was not published, the Society defending",History of the periodic table,20970755
9,"their decision by saying that such 'theoretical' topics might be controversial. The importance of Newlands' analysis was eventually recognised by the Chemistry Society with a Gold Medal five years after they recognised Mendeleev's work. It was not until the following century, with Gilbert N. Lewis's valence bond theory (1916) and Irving Langmuir's octet theory of chemical bonding (1919), that the importance of the periodicity of eight would be accepted. The Royal Chemistry Society acknowledged Newlands' contribution to science in 2008, when they put a Blue Plaque on the house where he was born, which described him as the ""discoverer of",History of the periodic table,20970755
10,"the Periodic Law for the chemical elements"". He contributed the word 'periodic' in chemistry. The Russian chemist Dmitri Mendeleev was the first scientist to make a periodic table similar to the one used today. Mendeleev arranged the elements by atomic mass, corresponding to relative molar mass. It is sometimes said that he played 'chemical solitaire' on long train journeys, using cards with various facts about the known elements. On March 6, 1869, Mendeleev gave a formal presentation, ""The Dependence Between the Properties of the Atomic Weights of the Elements"", to the Russian Chemical Society. In 1869, the table was published",History of the periodic table,20970755
11,"in an obscure Russian journal and then republished in a German journal, ""Zeitschrift für Chemie"". In it, Mendeleev stated that: Scientific benefits of Mendeleev's table Unknown to Mendeleev, a German chemist, Lothar Meyer, was also working on a periodic table. Although his work was published in 1864, and was done independently of Mendeleev, few historians regard him as an equal co-creator of the periodic table. Meyer's table only included twenty-eight elements, which were not classified by atomic weight, but by valence, and he never reached the idea of predicting new elements and correcting atomic weights. A few months after Mendeleev",History of the periodic table,20970755
12,"published his periodic table of the known elements, predicted new elements to help complete his table and corrected the atomic weights of some of the elements, Meyer published a virtually identical periodic table. Meyer and Mendeleev are considered by some historians of science to be the co-creators of the periodic table, but Mendeleev's accurate prediction of the qualities of undiscovered elements enables him to have the larger share of the credit. In 1864, the English chemist William Odling also drew up a table that was remarkably similar to the table produced by Mendeleev. Odling overcame the tellurium-iodine problem and even",History of the periodic table,20970755
13,"managed to get thallium, lead, mercury and platinum into the right groups, which is something that Mendeleev failed to do at his first attempt. Odling failed to achieve recognition, however, since it is suspected that he, as Secretary of the Chemical Society of London, was instrumental in discrediting Newlands' earlier work on the periodic table. By 1912 almost 50 different radioactive elements had been found, too many for the periodic table. Frederick Soddy in 1913 found that although they emitted different radiation, many elements were alike in their chemical characteristics so shared the same place on the table. They became",History of the periodic table,20970755
14,"known as isotopes, from the Greek """" (""same place""). In 1914, a year before he was killed in action at Gallipoli, the English physicist Henry Moseley found a relationship between the X-ray wavelength of an element and its atomic number. He was then able to re-sequence the periodic table by nuclear charge, rather than by atomic weight. Before this discovery, atomic numbers were sequential numbers based on an element's atomic weight. Moseley's discovery showed that atomic numbers were in fact based upon experimental measurements. Using information about their X-ray wavelengths, Moseley placed argon (with an atomic number Z=18) before potassium",History of the periodic table,20970755
15,"(Z=19), despite the fact that argon's atomic weight of 39.9 is greater than the atomic weight of potassium (39.1). The new order was in agreement with the chemical properties of these elements, since argon is a noble gas and potassium is an alkali metal. Similarly, Moseley placed cobalt before nickel and was able to explain that tellurium occurs before iodine, without revising the experimental atomic weight of tellurium, as had been proposed by Mendeleev. Moseley's research showed that there were gaps in the periodic table at atomic numbers 43 and 61, which are now known to be occupied by technetium",History of the periodic table,20970755
16,"and promethium respectively. During his Manhattan Project research in 1943, Glenn T. Seaborg experienced unexpected difficulties in isolating the elements americium and curium. Seaborg wondered if these elements belonged to a different series, which would explain why their chemical properties were different from what was expected. In 1945, against the advice of colleagues, he proposed a significant change to Mendeleev's table: the actinide series. Seaborg's actinide concept of heavy element electronic structure, predicting that the actinides form a transition series analogous to the rare earth series of lanthanide elements, is now well accepted and included in the periodic table. The",History of the periodic table,20970755
17,"actinide series is the second row of the f-block (5f series). In both the actinide and lanthanide series, an inner electron shell is being filled. The actinide series comprises the elements from actinium to lawrencium. Seaborg's subsequent elaborations of the actinide concept theorized a series of superheavy elements in a transactinide series comprising elements from 104 to 121 and a superactinide series of elements from 122 to 153. History of the periodic table The periodic table is an arrangement of the chemical elements and are organized on the basis of their atomic numbers, electron configurations and recurring chemical properties. Elements",History of the periodic table,20970755
18,"In 1914 , a year before he was killed in action at Gallipoli , the English physicist Henry Moseley found a relationship between the X-ray wavelength of an element and its atomic number . He was then able to re-sequence the periodic table by nuclear charge , rather than by atomic weight . Before this discovery , atomic numbers were sequential numbers based on an element 's atomic weight . Moseley 's discovery showed that atomic numbers were in fact based upon experimental measurements .",History of the periodic table,20970755
19,"In 1864 , the English chemist John Newlands classified the sixty - two known elements into eight groups , based on their physical properties .",History of the periodic table,20970755
20,"The history of the periodic table reflects over a century of growth in the understanding of chemical properties . The most important event in its history occurred in 1869 , when the table was published by Dmitri Mendeleev , who built upon earlier discoveries by scientists such as Antoine - Laurent de Lavoisier and John Newlands , but who is nevertheless generally given sole credit for its development .",History of the periodic table,20970755
21,"A number of physical elements ( such as platinum , tin and zinc ) have been known from antiquity , as they are found in their native form and are relatively simple to mine with primitive tools . Around 330 BCE , the Greek philosopher Aristotle proposed that everything is made up of a mixture of one or more roots , an idea that had originally been suggested by the Sicilian philosopher Empedocles . The four roots , which were later renamed as elements by Plato , were earth , water , air and fire . Similar ideas about these four elements also existed in other ancient traditions , such as Indian philosophy . While Aristotle and Plato understood the concept of an element , their ideas did nothing to advance the understanding of the nature of matter .",History of the periodic table,20970755
22,"Alexandre - Emile Béguyer de Chancourtois , a French geologist , was the first person to notice the periodicity of the elements -- similar elements occurring at regular intervals when they are ordered by their atomic weights . In 1862 he devised an early form of periodic table , which he named Vis tellurique ( the ' telluric helix ' ) , after the element tellurium , which fell near the center of his diagram . With the elements arranged in a spiral on a cylinder by order of increasing atomic weight , de Chancourtois saw that elements with similar properties lined up vertically . His 1863 publication included a chart ( which contained ions and compounds , in addition to elements ) , but his original paper in the Comptes rendus de l'Académie des sciences used geological rather than chemical terms and did not include a diagram . As a result , de Chancourtois ' ideas received little attention until after the work of Dmitri Mendeleev had been publicised .",History of the periodic table,20970755
